epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.688,1.86051,2.00899,2.64504,0.24155,0.36073,0.11716,0.02566,3.24874,7.6675,4.80439,0.00033,0.00033,0.06733
2,1145.92,1.69114,1.88706,2.52019,0.2323,0.4627,0.22261,0.07447,2.41059,2.43732,3.22029,0.000658955,0.000658955,0.0343256
3,1734.32,1.67647,1.81658,2.47455,0.36659,0.55212,0.42895,0.18898,2.04036,2.022,2.8936,0.000983511,0.000983511,0.00131684
4,2362.6,1.62755,1.77375,2.42938,0.35475,0.63418,0.47604,0.23548,2.0237,1.70193,2.83814,0.0009802,0.0009802,0.0009802
5,2988.41,1.60572,1.73498,2.38365,0.38475,0.55668,0.39054,0.1333,2.18864,1.96237,2.95433,0.0009736,0.0009736,0.0009736
6,3597.15,1.60701,1.7191,2.36378,0.42239,0.56944,0.49959,0.23493,2.00171,2.38582,2.75864,0.000967,0.000967,0.000967
7,4213.58,1.60536,1.68451,2.34126,0.44765,0.52898,0.43383,0.15343,2.16647,1.89091,2.90591,0.0009604,0.0009604,0.0009604
8,5516.67,1.58034,1.66367,2.32859,0.31998,0.48473,0.26951,0.08401,2.48749,2.30611,3.25935,0.0009538,0.0009538,0.0009538
9,6146.89,1.56506,1.63765,2.31427,0.42094,0.58844,0.52176,0.21822,1.83461,1.66037,2.54424,0.0009472,0.0009472,0.0009472
10,6838.66,1.55547,1.60013,2.27642,0.43692,0.59784,0.50969,0.22931,1.84136,1.79758,2.58225,0.0009406,0.0009406,0.0009406
11,7509.97,1.54898,1.60511,2.27078,0.45065,0.60531,0.52518,0.21962,1.85182,1.75055,2.5805,0.000934,0.000934,0.000934
12,8158.82,1.56776,1.59374,2.29725,0.47958,0.53308,0.50479,0.20264,1.86555,1.74271,2.59844,0.0009274,0.0009274,0.0009274
13,8749.57,1.53189,1.5913,2.25944,0.42263,0.63147,0.51938,0.22541,1.80928,1.64971,2.52802,0.0009208,0.0009208,0.0009208
14,619.76,1.55012,1.61343,2.28257,0.52434,0.55869,0.52641,0.21277,2.07969,1.61509,2.81881,0.0009142,0.0009142,0.0009142
15,1208.48,1.54377,1.56709,2.27861,0.44273,0.63145,0.54943,0.25861,1.72365,1.83695,2.43073,0.0009076,0.0009076,0.0009076
16,1826.3,1.51158,1.54732,2.23574,0.51939,0.59839,0.55913,0.27605,1.78379,1.54205,2.47691,0.000901,0.000901,0.000901
17,2467.9,1.49644,1.51668,2.21533,0.45695,0.63504,0.53691,0.26346,1.76414,1.50538,2.4472,0.0008944,0.0008944,0.0008944
18,3063.16,1.49342,1.50502,2.22349,0.50032,0.61396,0.54095,0.27087,1.71381,1.47404,2.42358,0.0008878,0.0008878,0.0008878
19,3667.98,1.47296,1.48009,2.19843,0.52264,0.61477,0.55847,0.28475,1.67068,1.47929,2.35935,0.0008812,0.0008812,0.0008812
20,4266.88,1.4976,1.46335,2.20283,0.48943,0.62268,0.5537,0.29088,1.71561,1.47842,2.40025,0.0008746,0.0008746,0.0008746
21,4877.24,1.49962,1.47036,2.21485,0.57244,0.54039,0.53099,0.19685,2.1539,1.57483,2.93714,0.000868,0.000868,0.000868
22,5495.93,1.51562,1.48578,2.24065,0.51927,0.63048,0.5753,0.2867,1.74206,1.43512,2.47024,0.0008614,0.0008614,0.0008614
23,6145.83,1.44488,1.42857,2.16119,0.54056,0.61931,0.59369,0.29,1.79936,1.45888,2.52252,0.0008548,0.0008548,0.0008548
24,6814.92,1.46126,1.42442,2.15857,0.50868,0.61587,0.56755,0.1956,2.16481,1.48675,2.87725,0.0008482,0.0008482,0.0008482
25,7633.42,1.49043,1.44003,2.21003,0.55335,0.60194,0.58357,0.25637,1.77725,1.50447,2.50515,0.0008416,0.0008416,0.0008416
