epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2964,2.34273,2.61505,2.47769,0.51734,0.40413,0.12863,0.02932,3.4017,3.36923,3.31041,0.00012,0.00012,0.08812
2,138.627,1.96938,2.19555,2.22825,0.04331,0.63148,0.17465,0.04075,2.64722,2.70577,3.21082,0.000247525,0.000247525,0.0752475
3,203.541,1.83914,1.99244,2.14234,0.69967,0.24593,0.22483,0.03353,2.89122,2.75391,3.95816,0.000372476,0.000372476,0.0623725
4,267.835,1.8332,1.92738,2.13335,0.72026,0.24932,0.1825,0.02241,3.27768,2.94312,4.47423,0.000494853,0.000494853,0.0494949
5,332.098,1.77764,1.86877,2.09262,0.84773,0.33686,0.37539,0.07718,2.76049,3.11386,3.43326,0.000614656,0.000614656,0.0366147
6,397.352,1.72481,1.86465,2.0596,0.87363,0.36669,0.42239,0.11129,2.70315,3.06941,3.49269,0.000731885,0.000731885,0.0237319
7,462.243,1.76621,1.92703,2.09071,0.888,0.38993,0.46499,0.28049,1.79541,2.06298,2.11547,0.00084654,0.00084654,0.0108465
8,526.221,1.70309,1.82921,2.06001,0.87927,0.38026,0.44676,0.13647,2.47674,1.779,2.98145,0.0009307,0.0009307,0.0009307
9,592.38,1.72142,1.84125,2.06565,0.88875,0.36378,0.44103,0.1776,2.19571,2.04209,2.60161,0.0009208,0.0009208,0.0009208
10,660.808,1.67642,1.79214,2.02234,0.57925,0.39315,0.45748,0.22871,2.12607,2.03169,2.51212,0.0009109,0.0009109,0.0009109
11,729.392,1.63131,1.73872,1.9964,0.43153,0.52955,0.47895,0.22487,2.0841,2.03303,2.37409,0.000901,0.000901,0.000901
12,797.97,1.56199,1.70599,1.92954,0.51719,0.55759,0.52672,0.17922,2.38032,1.60771,2.73704,0.0008911,0.0008911,0.0008911
13,866.074,1.61655,1.71142,1.96269,0.47177,0.61166,0.55484,0.23313,2.00291,1.48592,2.23134,0.0008812,0.0008812,0.0008812
14,944.116,1.5917,1.6823,1.93517,0.55845,0.52718,0.51245,0.17864,2.41635,1.70878,2.78351,0.0008713,0.0008713,0.0008713
15,1047.97,1.59341,1.68294,1.94884,0.57835,0.57284,0.57626,0.33539,1.5837,1.54769,1.93391,0.0008614,0.0008614,0.0008614
16,1149.65,1.57131,1.69812,1.94658,0.57329,0.59427,0.58928,0.29507,1.65473,1.48741,1.99546,0.0008515,0.0008515,0.0008515
17,1240.45,1.59157,1.65287,1.9561,0.60122,0.59247,0.6047,0.36628,1.52668,1.45195,1.83028,0.0008416,0.0008416,0.0008416
18,1306.4,1.54021,1.62208,1.89008,0.57,0.60779,0.58319,0.28725,1.81352,1.5574,2.05497,0.0008317,0.0008317,0.0008317
19,1371.69,1.50522,1.59237,1.86835,0.61311,0.61861,0.62978,0.39583,1.38983,1.43604,1.73024,0.0008218,0.0008218,0.0008218
20,1436.29,1.47174,1.56912,1.85291,0.576,0.66212,0.6462,0.40462,1.36082,1.35198,1.69703,0.0008119,0.0008119,0.0008119
21,1502.62,1.46624,1.55895,1.85204,0.56467,0.63417,0.6211,0.27597,2.06996,1.60587,2.25407,0.000802,0.000802,0.000802
22,1572.95,1.44514,1.52983,1.82251,0.58556,0.65076,0.6451,0.33254,1.78171,1.41138,1.97408,0.0007921,0.0007921,0.0007921
23,1641.78,1.44469,1.51608,1.8093,0.6581,0.64618,0.65457,0.39085,1.43625,1.2379,1.77749,0.0007822,0.0007822,0.0007822
24,1708.8,1.45342,1.50682,1.81756,0.67617,0.6444,0.66734,0.34352,1.73312,1.2966,1.93665,0.0007723,0.0007723,0.0007723
25,1776.6,1.3948,1.51183,1.7732,0.66023,0.65443,0.67363,0.42563,1.36162,1.21563,1.67383,0.0007624,0.0007624,0.0007624
26,1845.13,1.40306,1.50705,1.77848,0.59273,0.6393,0.64837,0.22096,2.33862,1.65573,2.6283,0.0007525,0.0007525,0.0007525
27,1914.84,1.39985,1.48375,1.77348,0.64561,0.64189,0.6706,0.32149,1.85064,1.37239,2.09248,0.0007426,0.0007426,0.0007426
28,1989.18,1.4077,1.45851,1.77845,0.73677,0.64538,0.70068,0.38305,1.63848,1.21669,1.89699,0.0007327,0.0007327,0.0007327
29,2061.23,1.40612,1.47954,1.78339,0.70499,0.61976,0.66913,0.21259,2.50885,1.43243,2.76813,0.0007228,0.0007228,0.0007228
30,2131.5,1.36819,1.44862,1.74836,0.72235,0.64095,0.70948,0.48101,1.17999,1.13416,1.5769,0.0007129,0.0007129,0.0007129
31,2204.77,1.405,1.47952,1.77678,0.69431,0.64439,0.6877,0.38492,1.52997,1.26343,1.80929,0.000703,0.000703,0.000703
32,2279.65,1.46065,1.46732,1.83734,0.67403,0.67654,0.70835,0.47823,1.18012,1.1556,1.56831,0.0006931,0.0006931,0.0006931
33,2353.16,1.3767,1.46341,1.76935,0.72749,0.64312,0.70007,0.33966,1.75527,1.29735,2.00572,0.0006832,0.0006832,0.0006832
34,2430.56,1.36818,1.43613,1.75168,0.74087,0.64656,0.70864,0.44775,1.31393,1.26067,1.68594,0.0006733,0.0006733,0.0006733
35,2502.69,1.35114,1.43262,1.73728,0.73494,0.64353,0.70924,0.47668,1.21189,1.22234,1.62478,0.0006634,0.0006634,0.0006634
36,2577.9,1.34914,1.41942,1.73073,0.71347,0.64734,0.69561,0.42098,1.41966,1.16698,1.73676,0.0006535,0.0006535,0.0006535
37,2650.42,1.32736,1.38908,1.71875,0.68096,0.59355,0.61983,0.1606,2.6552,1.58074,3.0733,0.0006436,0.0006436,0.0006436
38,2728,1.31794,1.38199,1.71235,0.74601,0.66507,0.7266,0.37835,1.658,1.17115,1.92947,0.0006337,0.0006337,0.0006337
39,2805.33,1.31127,1.379,1.70788,0.75009,0.6845,0.74527,0.51474,1.12457,1.07833,1.53023,0.0006238,0.0006238,0.0006238
40,2895.83,1.30188,1.37927,1.69334,0.74659,0.68082,0.74231,0.50687,1.15139,1.09728,1.54878,0.0006139,0.0006139,0.0006139
41,2981.35,1.25803,1.34203,1.66153,0.77254,0.69109,0.75827,0.51165,1.15762,1.06645,1.54235,0.000604,0.000604,0.000604
42,3056.9,1.32162,1.38878,1.71339,0.73884,0.70469,0.75199,0.36981,1.80625,1.21485,2.00728,0.0005941,0.0005941,0.0005941
43,3137.04,1.26194,1.32899,1.66464,0.74382,0.69924,0.74464,0.38932,1.68969,1.23089,1.89526,0.0005842,0.0005842,0.0005842
44,3212.56,1.26578,1.33508,1.66746,0.74116,0.70912,0.74636,0.32016,2.07204,1.37894,2.31741,0.0005743,0.0005743,0.0005743
45,3288.85,1.29695,1.32573,1.67828,0.75634,0.69832,0.75086,0.30047,2.19606,1.36522,2.51444,0.0005644,0.0005644,0.0005644
46,3368.89,1.2679,1.33326,1.6737,0.78391,0.70787,0.76032,0.37598,1.83197,1.17704,2.06264,0.0005545,0.0005545,0.0005545
47,3452.24,1.25112,1.31316,1.65266,0.76004,0.66053,0.7169,0.20053,2.60911,1.39815,3.07979,0.0005446,0.0005446,0.0005446
48,3537.56,1.23072,1.3233,1.63807,0.80274,0.70644,0.78577,0.54242,1.11798,0.99301,1.49266,0.0005347,0.0005347,0.0005347
