epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.0872,3.10774,2.92426,3.29584,0.03341,0.66394,0.11321,0.02397,3.0426,2.99777,3.34424,0.00060012,0.00020004,0.00060012,0.00020004,0.00060012,0.00020004,0.00060012,0.00020004
2,73.9074,2.96576,2.90993,3.12232,0.03414,0.67944,0.11726,0.0258,2.94254,2.99165,3.23936,0.00112648,0.000375492,0.00112648,0.000375492,0.00112648,0.000375492,0.00112648,0.000375492
3,103.262,2.82314,2.88135,2.98893,0.03476,0.6998,0.12378,0.0286,2.74371,2.9844,2.99624,0.0015241,0.000508035,0.0015241,0.000508035,0.0015241,0.000508035,0.0015241,0.000508035
4,132.365,2.63291,2.8643,2.79767,0.03477,0.70219,0.11525,0.03274,2.50682,2.97359,2.76593,0.00179301,0.00059767,0.00179301,0.00059767,0.00179301,0.00059767,0.00179301,0.00059767
5,161.577,2.46481,2.84745,2.6515,0.03596,0.72704,0.13796,0.04346,2.35405,2.94349,2.61269,0.00193319,0.000644396,0.00193319,0.000644396,0.00193319,0.000644396,0.00193319,0.000644396
6,190.544,2.35362,2.86826,2.55208,0.03733,0.74333,0.21088,0.07322,2.20498,2.90973,2.46972,0.00194464,0.000648213,0.00194464,0.000648213,0.00194464,0.000648213,0.00194464,0.000648213
7,219.975,2.22423,2.80038,2.43182,0.03794,0.75449,0.27053,0.0996,2.13438,2.87426,2.38983,0.00182737,0.000609122,0.00182737,0.000609122,0.00182737,0.000609122,0.00182737,0.000609122
8,250.294,2.17505,2.8049,2.39693,0.03791,0.75569,0.30446,0.12302,2.06373,2.8194,2.3171,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
9,280.862,2.11793,2.75515,2.3337,0.03784,0.7575,0.3242,0.13279,2.03041,2.76868,2.26958,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
10,310.666,2.09029,2.72501,2.31244,0.03801,0.7601,0.33694,0.14127,2.01939,2.72326,2.24294,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
